DEBUG ({http-bio-8888-exec-4} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:44:32,830] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-7} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:44:35,569] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-10} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:02,587] - aaaa, loginMember, Aop
DEBUG ({http-bio-8888-exec-10} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:02,712] - aaaa, showMyReserveList, Aop
DEBUG ({http-bio-8888-exec-10} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:02,842] - null, showReserveList, Aop
DEBUG ({http-bio-8888-exec-10} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:02,983] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-8} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:18,370] - null, getMemberVO, Aop
DEBUG ({http-bio-8888-exec-8} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:18,394] - aaaa, showMyReserveList, Aop
DEBUG ({http-bio-8888-exec-8} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:18,680] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-8} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:21,080] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:29,329] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:31,647] - aaaa, loginMember, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:31,660] - aaaa, showMyReserveList, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:31,675] - null, showReserveList, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:31,796] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:47,982] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:49,325] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:51,385] - aaaa, loginMember, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:52,953] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:55,417] - aaaa, loginMember, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:55,427] - aaaa, showMyReserveList, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:55,446] - null, showReserveList, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:45:55,514] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:46:05,963] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:46:07,166] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:46:15,141] - aaaa, loginMember, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:46:15,152] - aaaa, showMyReserveList, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:46:15,168] - null, showReserveList, Aop
DEBUG ({http-bio-8888-exec-6} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:46:15,263] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-7} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:53:42,574] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-7} LoggingAspect.java[beforeLog]:48) [2016-07-06 14:53:44,971] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-11} LoggingAspect.java[beforeLog]:48) [2016-07-06 15:22:32,386] - null, findAddressCount, Aop
DEBUG ({http-bio-8888-exec-11} LoggingAspect.java[beforeLog]:48) [2016-07-06 15:22:32,645] - null, findAllPetsitterList, Aop
DEBUG ({http-bio-8888-exec-15} LoggingAspect.java[beforeLog]:48) [2016-07-06 15:22:34,182] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-19} LoggingAspect.java[beforeLog]:48) [2016-07-06 15:24:17,155] - null, getboardDetail, Aop
DEBUG ({http-bio-8888-exec-19} LoggingAspect.java[beforeLog]:48) [2016-07-06 15:24:18,011] - null, getPetCalendarDate, Aop
DEBUG ({http-bio-8888-exec-19} LoggingAspect.java[beforeLog]:48) [2016-07-06 15:24:18,013] - null, getPetCalendarDate, Aop
DEBUG ({http-bio-8888-exec-19} LoggingAspect.java[beforeLog]:48) [2016-07-06 15:24:18,121] - null, getReviewVOById, Aop
DEBUG ({http-bio-8888-exec-14} LoggingAspect.java[beforeLog]:48) [2016-07-06 15:24:19,221] - null, countMessage, Aop
DEBUG ({http-bio-8888-exec-16} LoggingAspect.java[beforeLog]:48) [2016-07-06 15:24:19,225] - null, avg, Aop
